QueryID,Query,Actual Count,Estimated Count,Abs Diff,Exec Time (s),CPU Time (ns),Peak Mem (bytes)
151,"select ref_0.cr_refunded_customer_sk as c0, ref_0.cr_item_sk as c1, ref_0.cr_returned_date_sk as c2, ref_0.cr_item_sk as c3, ref_0.cr_returning_addr_sk as c4 from main.catalog_returns as ref_0 where ref_0.cr_fee is not NULL limit 162",162,162,0,0.541397907,2462494787,0
165,"select ref_0.ss_addr_sk as c0, ref_0.ss_ext_wholesale_cost as c1 from main.store_sales as ref_0 where ref_0.ss_ext_sales_price is not NULL limit 106",106,106,0,15.621112477,2017632750,0
221,"select ref_0.d_date_sk as c0, ref_0.d_following_holiday as c1, ref_0.d_current_month as c2, ref_0.d_current_month as c3 from main.date_dim as ref_0 where (ref_0.d_dom is not NULL) and (ref_0.d_dom is not NULL)",73049,73049,0,0.135540535,41924470,0
440,"select ref_0.c_birth_country as c0, ref_0.c_customer_id as c1 from main.customer as ref_0 where ref_0.c_birth_day is not NULL limit 59",59,59,0,0.114575276,29353212,0
521,"select ref_0.ws_ext_list_price as c0, ref_0.ws_ship_cdemo_sk as c1, ref_0.ws_net_profit as c2, ref_0.ws_net_paid_inc_ship as c3 from main.web_sales as ref_0 where ref_0.ws_list_price is not NULL limit 54",54,54,0,15.176838319,591605693,0
589,"select ref_0.inv_quantity_on_hand as c0, ref_0.inv_quantity_on_hand as c1 from main.inventory as ref_0 where ref_0.inv_item_sk is not NULL limit 147",147,147,0,0.195294741,857801058,0
827,"select subq_0.c0 as c0, subq_0.c1 as c1, subq_0.c0 as c2, subq_0.c1 as c3, (select ss_list_price from main.store_sales limit 1 offset 5) as c4, subq_0.c0 as c5, subq_0.c1 as c6, subq_0.c0 as c7, subq_0.c1 as c8, subq_0.c1 as c9, subq_0.c1 as c10, (select cc_zip from main.call_center limit 1 offset 3) as c11 from (select ref_0.cp_end_date_sk as c0, ref_0.cp_catalog_page_id as c1 from main.catalog_page as ref_0 where ref_0.cp_start_date_sk is not NULL) as subq_0 where subq_0.c1 is not NULL limit 70",70,70,0,0.113795123,22734318,0
888,"WITH jennifer_0 AS (select subq_0.c0 as c0, subq_0.c4 as c1 from (select ref_0.cr_returned_date_sk as c0, ref_0.cr_warehouse_sk as c1, ref_0.cr_catalog_page_sk as c2, ref_0.cr_refunded_addr_sk as c3, ref_0.cr_store_credit as c4, ref_0.cr_net_loss as c5 from main.catalog_returns as ref_0 where ref_0.cr_return_amount is not NULL limit 56) as subq_0 where (select ss_item_sk from main.store_sales limit 1 offset 3) is NULL limit 62) select 65 as c0, ref_1.d_current_month as c1, ref_1.d_quarter_name as c2, (select c_email_address from main.customer limit 1 offset 2) as c3 from main.date_dim as ref_1 where ref_1.d_date_sk is not NULL limit 131 ",131,131,0,0.126235147,26415701,0
970,"select ref_0.wr_returning_addr_sk as c0, ref_0.wr_reversed_charge as c1 from main.web_returns as ref_0 where ref_0.wr_refunded_addr_sk is NULL limit 136",136,136,0,15.171778223,621857139,0
998,"select ref_0.ws_order_number as c0, ref_0.ws_net_paid_inc_ship as c1, ref_0.ws_order_number as c2, ref_0.ws_item_sk as c3, ref_0.ws_ship_hdemo_sk as c4 from main.web_sales as ref_0 where ref_0.ws_list_price is not NULL limit 89",89,89,0,0.18419621,469892741,0
1261,"select ref_0.ws_ext_tax as c0, 25 as c1, case when (select cd_purchase_estimate from main.customer_demographics limit 1 offset 6) is NULL then ref_0.ws_ext_sales_price else ref_0.ws_ext_sales_price end as c2, (select cc_county from main.call_center limit 1 offset 3) as c3, ref_0.ws_net_paid_inc_ship_tax as c4, ref_0.ws_ship_hdemo_sk as c5, ref_0.ws_bill_cdemo_sk as c6, cast(coalesce(ref_0.ws_ship_hdemo_sk, ref_0.ws_net_paid_inc_ship) as INTEGER) as c7, (select inv_item_sk from main.inventory limit 1 offset 5) as c8, ref_0.ws_net_paid_inc_ship as c9, ref_0.ws_sold_time_sk as c10, (select wr_return_tax from main.web_returns limit 1 offset 6) as c11, ref_0.ws_quantity as c12, ref_0.ws_quantity as c13, cast(coalesce(ref_0.ws_coupon_amt, ref_0.ws_ship_mode_sk) as INTEGER) as c14, ref_0.ws_item_sk as c15, ref_0.ws_quantity as c16 from main.web_sales as ref_0 where ref_0.ws_ship_customer_sk is not NULL limit 114",114,114,0,15.189830302,465079571,0
1405,select ref_0.cs_sold_time_sk as c0 from main.catalog_sales as ref_0 where ref_0.cs_ext_tax is NULL limit 132,132,132,0,15.298508016,3387297384,0
1437,"select subq_0.c12 as c0, subq_0.c5 as c1, subq_0.c22 as c2, subq_0.c11 as c3, subq_0.c4 as c4, subq_0.c2 as c5 from (select ref_0.wr_refunded_cdemo_sk as c0, ref_0.wr_return_amt as c1, ref_0.wr_account_credit as c2, ref_0.wr_returning_addr_sk as c3, ref_0.wr_returning_cdemo_sk as c4, ref_0.wr_item_sk as c5, ref_0.wr_web_page_sk as c6, ref_0.wr_refunded_customer_sk as c7, ref_0.wr_returning_addr_sk as c8, ref_0.wr_returning_hdemo_sk as c9, ref_0.wr_item_sk as c10, ref_0.wr_returning_cdemo_sk as c11, ref_0.wr_returning_hdemo_sk as c12, ref_0.wr_return_quantity as c13, ref_0.wr_returned_date_sk as c14, ref_0.wr_return_tax as c15, ref_0.wr_returning_cdemo_sk as c16, ref_0.wr_returning_hdemo_sk as c17, ref_0.wr_item_sk as c18, ref_0.wr_return_amt as c19, ref_0.wr_fee as c20, ref_0.wr_return_amt as c21, 94 as c22 from main.web_returns as ref_0 where ref_0.wr_reason_sk is NULL limit 61) as subq_0 where subq_0.c2 is NULL limit 40",40,40,0,15.19019921,578383019,0
1455,select ref_0.cd_dep_college_count as c0 from main.customer_demographics as ref_0 where ref_0.cd_demo_sk is not NULL,1920800,1920800,0,0.074967326,19271603,0
1506,"select ref_0.wr_refunded_cash as c0, ref_0.wr_returned_date_sk as c1, ref_0.wr_account_credit as c2 from main.web_returns as ref_0 where ref_0.wr_net_loss is not NULL limit 147",147,147,0,0.147471848,426648093,0
1742,select ref_0.cr_refunded_addr_sk as c0 from main.catalog_returns as ref_0 where ref_0.cr_returned_date_sk is not NULL limit 131,131,131,0,0.15280416,410321005,0
1755,"select ref_0.cr_ship_mode_sk as c0, ref_0.cr_return_amt_inc_tax as c1, ref_0.cr_returned_time_sk as c2, ref_0.cr_warehouse_sk as c3, ref_0.cr_refunded_cash as c4 from main.catalog_returns as ref_0 where ref_0.cr_catalog_page_sk is not NULL limit 98",98,98,0,15.150708577,483012237,0
1773,select ref_0.cd_dep_employed_count as c0 from main.customer_demographics as ref_0 where ref_0.cd_gender is not NULL limit 57,57,57,0,0.081759151,19812521,0
1839,select ref_0.cc_manager as c0 from main.call_center as ref_0 where (68 is NULL) or ((ref_0.cc_zip is not NULL) or (ref_0.cc_hours is not NULL)),30,30,0,0.08499635,22077057,0
1852,"select ref_0.cc_country as c0, ref_0.cc_division_name as c1, ref_0.cc_division_name as c2, ref_0.cc_division as c3, ref_0.cc_country as c4 from main.call_center as ref_0 where ref_0.cc_county is not NULL limit 163",30,30,0,0.090809048,25850016,0
2122,"select ref_0.sr_refunded_cash as c0, (select cc_class from main.call_center limit 1 offset 2) as c1, (select c_last_name from main.customer limit 1 offset 3) as c2 from main.store_returns as ref_0 where ref_0.sr_return_quantity is not NULL limit 108",108,108,0,0.181427664,517366513,0
2150,"select ref_0.c_customer_sk as c0, ref_0.c_customer_sk as c1, ref_0.c_first_name as c2, ref_0.c_last_name as c3, ref_0.c_last_review_date as c4, ref_0.c_current_addr_sk as c5, 91 as c6, ref_0.c_birth_month as c7, ref_0.c_preferred_cust_flag as c8, ref_0.c_preferred_cust_flag as c9, ref_0.c_last_review_date as c10 from main.customer as ref_0 where ref_0.c_preferred_cust_flag is NULL limit 76",76,76,0,0.098763472,35724344,0
2245,"select ref_0.ca_state as c0, 88 as c1, ref_0.ca_location_type as c2, ref_0.ca_address_sk as c3 from main.customer_address as ref_0 where ref_0.ca_suite_number is NULL limit 143",143,143,0,0.076397316,16740010,0
2256,"select ref_0.sr_fee as c0, ref_0.sr_return_ship_cost as c1 from main.store_returns as ref_0 where ref_0.sr_store_credit is NULL limit 154",154,154,0,0.143693379,601293591,0
